,Absolute Time,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
38,2023-04-17 14:15:45.002000+08:00,0.64171,-3.85725,0.36719,-6.28719,-2.03267,9.39725,-10.1917,73.21304,34.37538
39,2023-04-17 14:15:45.050000+08:00,3.63257,1.02639,-0.42664,-1.61609,-1.04866,10.92474,-5.42432,57.19319,54.58604
40,2023-04-17 14:15:45.098000+08:00,0.64171,-2.69711,0.30599,-4.58011,0.06705,8.83701,0.38594,90.80707,47.46075
41,2023-04-17 14:15:45.147000+08:00,1.31314,0.23255,0.91623,-3.45963,4.31436,12.69646,18.15198,139.97961,70.06034
42,2023-04-17 14:15:45.195000+08:00,-5.88904,-3.97878,1.22135,-5.7413,-2.78925,9.02135,-14.61928,65.76295,33.20192
43,2023-04-17 14:15:45.245000+08:00,0.153,2.00294,0.12327,-1.10852,0.89304,11.13065,4.56465,128.75003,61.65497
44,2023-04-17 14:15:45.295000+08:00,-5.03489,-1.84295,0.79471,-2.99275,1.26654,7.5992,8.81493,112.29744,59.85351
45,2023-04-17 14:15:45.345000+08:00,1.61826,0.47647,0.24479,-1.93692,3.5985,6.81151,26.93745,149.49013,81.51318
46,2023-04-17 14:15:45.395000+08:00,-2.89819,-3.79606,0.61111,-4.53223,-0.51476,13.29022,-2.09946,83.63819,51.8544
47,2023-04-17 14:15:45.447000+08:00,4.91424,2.06326,-0.30424,-0.67996,-2.67911,7.23528,-20.23691,14.8582,50.87894
48,2023-04-17 14:15:45.497000+08:00,2.2897,-1.35424,-0.06032,-2.92812,1.46046,10.54886,7.5986,116.09602,60.38632
49,2023-04-17 14:15:45.546000+08:00,0.33659,3.22341,0.24479,-0.50279,-1.7693,5.36301,-18.18372,16.41211,51.45822
50,2023-04-17 14:15:45.598000+08:00,-2.22675,-1.78175,-0.85328,-3.74454,4.11803,12.88081,17.06613,136.47467,69.05089
51,2023-04-17 14:15:45.647000+08:00,-1.18987,3.52853,-0.06032,-0.45012,-2.04465,4.57532,-23.97659,13.1887,49.95057
52,2023-04-17 14:15:45.698000+08:00,-5.34001,0.90399,0.54991,-0.68954,-0.89064,10.1993,-4.97931,37.83854,57.06617
53,2023-04-17 14:15:45.757000+08:00,1.25195,-4.65021,0.00087,-4.14915,1.65919,8.83221,9.64972,110.98126,58.72735
54,2023-04-17 14:15:45.807000+08:00,3.14385,3.46733,0.42839,-2.03268,2.90178,7.86974,19.64706,143.60489,72.1721
55,2023-04-17 14:15:45.865000+08:00,1.37434,1.75815,-0.30424,-5.50667,-1.55623,11.19528,-7.11006,74.81218,43.46185
56,2023-04-17 14:15:45.917000+08:00,-4.48585,-0.744,1.03863,-2.42534,-1.09654,4.84827,-11.43518,66.719,40.6226
57,2023-04-17 14:15:45.967000+08:00,-3.5093,1.39183,0.36719,-5.05177,0.07901,8.9615,0.44005,90.8572,46.49521
58,2023-04-17 14:15:46.019000+08:00,-4.54617,-3.06342,0.67231,-1.68791,-1.44609,10.77631,-7.55197,49.69058,53.90323
59,2023-04-17 14:15:46.069000+08:00,1.55706,1.88054,0.1836,-0.14366,-1.54425,12.3062,-7.15193,5.34266,57.42286
60,2023-04-17 14:15:46.117000+08:00,-3.99714,-1.41543,1.22135,-1.66637,-2.90895,12.9287,-12.57965,30.27742,52.54722
61,2023-04-17 14:15:46.168000+08:00,-2.53274,-1.23271,0.12327,-1.02234,0.05028,11.77948,0.24364,92.81198,59.22585
62,2023-04-17 14:15:46.226000+08:00,-2.10523,-4.40629,0.24479,-1.50597,0.9122,11.26712,4.58803,121.07541,60.95895
63,2023-04-17 14:15:46.276000+08:00,3.32745,2.24686,0.42839,0.20111,-1.74776,11.78426,-8.435,-6.61177,57.59059
64,2023-04-17 14:15:46.328000+08:00,0.33659,-1.78175,-1.09808,-1.97762,-1.03429,4.53702,-11.8036,63.3809,42.86191
65,2023-04-17 14:15:46.380000+08:00,1.55706,2.42958,0.12327,-1.8627,1.37668,11.81538,6.56552,126.23557,61.89499
66,2023-04-17 14:15:46.445000+08:00,3.51017,3.16221,-0.36544,-0.98402,-3.0119,7.01022,-23.04845,19.12031,48.71526
67,2023-04-17 14:15:46.495000+08:00,-0.57964,0.04983,0.30599,-3.5937,0.81642,6.28,6.43773,102.19821,52.10169
68,2023-04-17 14:15:46.544000+08:00,0.27539,0.04983,0.06207,-2.8132,-0.96965,7.62074,-6.8069,71.43024,47.85179
69,2023-04-17 14:15:46.593000+08:00,-0.27364,-3.18582,-0.12152,-4.28802,-1.9393,8.17381,-11.86536,66.79834,39.34468
70,2023-04-17 14:15:46.642000+08:00,1.98458,-1.53783,-1.03688,-0.47885,-0.7422,11.20966,-3.78464,32.87511,58.52191
71,2023-04-17 14:15:46.690000+08:00,1.61826,0.29375,-1.52472,-4.59448,-2.00394,9.24641,-10.98375,67.42748,41.03918
72,2023-04-17 14:15:46.739000+08:00,0.70291,2.12446,0.97743,-1.9848,3.48117,11.07558,17.19113,149.41714,70.64198
73,2023-04-17 14:15:46.789000+08:00,-3.08178,0.41528,3.41837,-5.78439,-1.28807,10.00777,-6.3584,78.04408,40.81947
74,2023-04-17 14:15:46.847000+08:00,-3.3869,-3.06342,0.79471,-5.15952,-0.04788,6.44998,-0.33214,89.50774,37.12975
75,2023-04-17 14:15:46.900000+08:00,1.80098,0.47647,0.61111,-2.88982,3.31837,8.25043,20.7865,137.11858,73.97095
76,2023-04-17 14:15:46.951000+08:00,-3.2033,-1.96447,1.09982,-4.01987,-2.3535,8.31746,-14.29289,61.00908,40.18573
77,2023-04-17 14:15:47.001000+08:00,0.88563,2.6735,0.91623,-4.33112,-1.20667,11.72681,-5.5134,74.78445,49.17617
78,2023-04-17 14:15:47.053000+08:00,-3.56962,-2.8195,1.58766,-2.51152,-0.9026,7.62553,-6.41455,70.61432,49.60594
79,2023-04-17 14:15:47.104000+08:00,1.19075,1.75815,-0.79296,-1.84354,-0.27054,11.37964,-1.34436,81.68834,57.08098
80,2023-04-17 14:15:47.159000+08:00,0.58051,-2.57471,-1.342,-1.6568,-0.95767,12.29184,-4.41522,60.09433,56.06633
81,2023-04-17 14:15:47.213000+08:00,0.0918,1.51423,-0.60936,0.7829,1.13007,13.04361,4.94275,-145.20343,63.44147
82,2023-04-17 14:15:47.263000+08:00,1.61826,1.57542,-1.342,-0.46687,-4.95839,5.89214,-39.99319,6.46296,48.5591
83,2023-04-17 14:15:47.313000+08:00,-2.71546,-3.49094,-0.30424,-1.21387,1.59933,12.0979,7.49361,142.59799,63.19609
84,2023-04-17 14:15:47.371000+08:00,0.33659,1.14791,0.30599,-0.48602,0.77573,11.80342,3.75693,147.88699,61.75701
85,2023-04-17 14:15:47.426000+08:00,-0.33484,3.71125,0.54991,-0.86909,-3.68706,6.45477,-29.51445,14.56448,47.84211
86,2023-04-17 14:15:47.477000+08:00,-4.36345,-1.53783,1.03863,0.01436,3.29681,13.39795,13.82404,-179.7455,67.76791
87,2023-04-17 14:15:47.526000+08:00,2.59482,0.17136,0.48871,0.11731,-2.24576,9.1698,-13.76025,-3.04901,56.00898
88,2023-04-17 14:15:47.577000+08:00,-1.61651,-2.94102,0.24479,-1.59454,-1.47482,10.69011,-7.77013,47.51387,54.15401
89,2023-04-17 14:15:47.627000+08:00,3.38777,2.55198,-0.30424,-1.075,1.19232,12.23438,5.54504,137.83649,62.34395
90,2023-04-17 14:15:47.678000+08:00,-1.12868,-1.90415,0.24479,-0.73982,0.75658,10.70209,4.03416,135.57137,61.259
91,2023-04-17 14:15:47.727000+08:00,2.3509,1.02639,0.48871,-0.03113,0.02634,12.24394,0.12325,130.23442,60.2586
92,2023-04-17 14:15:47.776000+08:00,-0.57964,-2.69711,0.12327,-2.78687,-2.65277,9.51935,-14.9731,47.46075,46.26279
93,2023-04-17 14:15:47.840000+08:00,-1.55619,-1.96447,0.00087,-3.53624,1.32401,10.03171,7.09538,110.07255,58.84134
94,2023-04-17 14:15:47.889000+08:00,3.63257,2.49078,-0.91448,-0.64165,-1.66158,7.53934,-12.38521,21.44337,53.78897
95,2023-04-17 14:15:47.938000+08:00,-3.56962,-2.08687,-0.24305,-0.10535,2.4014,13.58231,10.02617,177.46216,65.27697
96,2023-04-17 14:15:47.988000+08:00,3.38777,0.78159,-0.67056,-0.91939,-4.69023,7.75722,-30.98169,12.30721,47.84988
97,2023-04-17 14:15:48.036000+08:00,-2.95938,-3.79606,0.30599,-1.61848,0.67038,12.58392,3.02455,112.42543,59.96104
98,2023-04-17 14:15:48.086000+08:00,2.0449,3.28461,-0.60936,-0.65123,-1.70706,7.66623,-12.50978,21.21303,53.58524
99,2023-04-17 14:15:48.135000+08:00,-4.30225,-1.96447,-0.06032,-0.07661,2.86346,13.11304,12.31798,178.44331,66.64136
100,2023-04-17 14:15:48.184000+08:00,1.61826,0.29375,-0.36544,0.80923,-3.5889,8.84178,-22.00919,-13.3656,55.91348
101,2023-04-17 14:15:48.235000+08:00,0.153,-3.67366,0.85503,-1.88185,-0.6967,13.52484,-2.92076,69.75993,56.54197
102,2023-04-17 14:15:48.291000+08:00,-3.56962,-2.39199,0.97743,-0.68954,0.63448,8.9998,4.02087,132.54361,61.36333
103,2023-04-17 14:15:48.342000+08:00,-0.21332,3.83365,-0.06032,-1.55624,0.70151,14.71956,2.71346,114.20875,60.21423
104,2023-04-17 14:15:48.390000+08:00,0.70291,-1.78175,0.48871,0.9912,-2.03746,8.46111,-13.45062,-26.41587,58.21102
105,2023-04-17 14:15:48.440000+08:00,0.45811,-0.31648,0.30599,-2.63602,1.71904,9.29669,10.08716,122.50546,63.34748
106,2023-04-17 14:15:48.494000+08:00,-1.80011,-2.63591,1.46527,-1.26414,-1.30244,8.5856,-8.53542,44.46009,54.13659
107,2023-04-17 14:15:48.544000+08:00,-0.63996,1.45303,0.1836,-0.48602,-0.0383,10.34775,-0.21184,85.49582,60.08867
108,2023-04-17 14:15:48.600000+08:00,2.2285,-3.30734,0.85503,-3.21782,-0.04549,7.78355,-0.30943,89.21071,51.55943
109,2023-04-17 14:15:48.650000+08:00,-0.45724,-4.83381,-1.64711,-1.09895,1.56821,6.54575,13.29347,144.36237,66.97775
110,2023-04-17 14:15:48.699000+08:00,1.43467,-8.00739,-2.68487,-3.83073,-2.65517,12.75392,-11.27603,56.00099,48.22092
111,2023-04-17 14:15:48.749000+08:00,2.83874,-7.21355,-2.31855,-0.25858,-0.88824,7.21373,-7.01518,16.31128,57.28216
112,2023-04-17 14:15:48.800000+08:00,3.20505,-3.91758,-2.01343,-0.74939,-1.06302,10.75954,-5.62885,35.29124,57.12931
113,2023-04-17 14:15:48.850000+08:00,1.06835,-1.90415,-1.03688,0.41418,-3.33272,9.11234,-20.07027,-7.38824,55.51241
114,2023-04-17 14:15:48.900000+08:00,1.43467,3.89485,0.48871,-2.38463,2.29126,10.6566,11.84987,133.21255,65.51508
115,2023-04-17 14:15:48.948000+08:00,-1.61651,8.47249,2.56422,1.1133,-0.39983,7.5154,-3.01251,-70.32727,61.61094
116,2023-04-17 14:15:48.996000+08:00,-4.30225,15.73501,5.67747,1.1133,-1.33595,10.13226,-7.46677,-40.02224,59.8647
117,2023-04-17 14:15:49.045000+08:00,1.19075,23.12079,4.63972,1.91057,-3.28484,9.98143,-17.91222,-31.17196,59.02332
118,2023-04-17 14:15:49.106000+08:00,5.7072,5.11532,2.3203,-3.85707,1.14684,13.30219,4.73349,106.31656,58.25792
119,2023-04-17 14:15:49.162000+08:00,-3.08178,0.47647,-2.13583,-4.28563,-0.158,6.50505,-1.16199,88.00614,41.37622
120,2023-04-17 14:15:49.217000+08:00,-2.95938,-5.62676,2.07638,-3.00233,-1.30005,7.20177,-9.45966,67.31503,44.64838
121,2023-04-17 14:15:49.268000+08:00,0.21419,-9.65537,-0.36544,-6.60561,-0.30646,6.94559,-1.83124,87.59289,25.46741
122,2023-04-17 14:15:49.318000+08:00,-0.82356,-11.30336,-1.342,-2.90417,-2.3511,9.9527,-12.77692,51.85235,45.76073
123,2023-04-17 14:15:49.369000+08:00,0.45811,-1.90415,2.86934,-2.98558,-1.58496,9.39246,-9.13603,62.61156,46.70234
124,2023-04-17 14:15:49.420000+08:00,-1.06748,-13.9279,1.09982,-1.6568,1.22345,6.14592,10.87988,125.79701,62.81071
125,2023-04-17 14:15:49.472000+08:00,-0.45724,-25.0975,0.30599,2.58095,-0.9026,6.78038,-7.09181,-71.20607,62.57539
126,2023-04-17 14:15:49.522000+08:00,10.40724,42.10282,0.61111,0.88106,-4.58011,32.30257,-8.06709,-10.96085,57.54981
127,2023-04-17 14:15:49.587000+08:00,-1.98283,10.4868,1.16015,-11.26712,0.77333,21.46162,1.82733,93.77439,48.60218
128,2023-04-17 14:15:49.637000+08:00,7.47758,-5.50437,0.24479,-6.49548,-1.27132,1.731,-10.70944,81.88184,338.4183
129,2023-04-17 14:15:49.687000+08:00,8.63686,-0.50008,1.22135,-5.782,12.61026,4.73094,59.35577,139.49181,162.32921
130,2023-04-17 14:15:49.741000+08:00,3.08266,-0.92759,1.09982,-4.10846,3.16275,9.34697,17.21132,125.95573,68.41529
131,2023-04-17 14:15:49.794000+08:00,1.80098,-1.17151,1.34374,-0.29449,1.72862,9.62949,10.17232,170.22929,65.05566
132,2023-04-17 14:15:49.841000+08:00,1.49587,2.24686,2.1979,0.58658,-0.31842,11.17613,-1.62973,-61.52254,60.51089
133,2023-04-17 14:15:49.890000+08:00,7.05007,-1.41543,0.85503,-4.30957,-0.13406,9.93594,-0.7092,88.26759,49.59279
134,2023-04-17 14:15:49.938000+08:00,4.73064,-2.02567,0.79471,-2.70546,-1.38385,11.53526,-6.66182,63.21976,51.80056
135,2023-04-17 14:15:49.989000+08:00,5.09696,-0.37768,1.28255,-3.37584,-0.79726,9.33739,-4.59081,76.99494,49.18742
136,2023-04-17 14:15:50.038000+08:00,3.20505,-1.11032,0.06207,-0.0862,-2.73897,9.54568,-16.00929,1.85095,54.33039
137,2023-04-17 14:15:50.088000+08:00,3.32745,-0.6828,0.85503,-1.96326,0.02394,10.82658,1.67288,96.34982,56.38808
138,2023-04-17 14:15:50.136000+08:00,4.36433,0.96519,1.89278,-2.6073,-0.87866,10.26634,-4.74202,71.59382,52.78622
139,2023-04-17 14:15:50.186000+08:00,4.36433,-0.25616,3.35805,-0.87628,0.62968,11.13304,3.22723,125.64384,60.76303
140,2023-04-17 14:15:50.246000+08:00,6.86735,0.53767,2.07638,-2.31281,-1.59932,10.00777,-8.85013,55.77973,51.30497
141,2023-04-17 14:15:50.295000+08:00,7.35519,2.61318,2.56422,-3.27527,-1.42455,10.41238,-7.43555,66.93416,49.43509
142,2023-04-17 14:15:50.344000+08:00,7.05007,-0.744,1.77126,-3.35188,-0.91937,8.94235,-5.49893,75.01766,48.66496
143,2023-04-17 14:15:50.392000+08:00,5.7684,-0.6216,0.73351,-4.2162,1.97282,7.67102,12.70108,113.80206,60.4922
144,2023-04-17 14:15:50.439000+08:00,4.60912,-0.6216,1.09982,-2.79643,-0.31123,9.10515,-1.87152,83.74432,52.9746
145,2023-04-17 14:15:50.488000+08:00,2.59482,-0.43888,0.48871,-3.1795,0.23943,10.42436,1.25851,94.24333,55.58274
146,2023-04-17 14:15:50.538000+08:00,1.61826,0.53767,0.06207,-3.80679,0.65123,8.84418,3.86928,99.43328,54.38694
147,2023-04-17 14:15:50.590000+08:00,-2.41035,-1.78175,0.12327,-3.68468,-0.64882,8.18578,-4.13397,80.31935,47.34286
148,2023-04-17 14:15:50.640000+08:00,-3.3869,-0.31648,-0.67056,-3.64159,1.33597,8.95671,7.867,109.5735,58.79457
149,2023-04-17 14:15:50.697000+08:00,-3.81441,2.55198,-0.85328,-2.53546,-1.59213,12.24394,-7.25658,58.19062,53.29025
150,2023-04-17 14:15:50.745000+08:00,-2.28795,-2.08687,-0.48784,-0.94572,0.72545,9.78271,4.22147,127.39825,61.57164
151,2023-04-17 14:15:50.795000+08:00,-1.86131,-2.08687,-0.30424,-3.94804,1.05585,7.46751,7.12488,104.3427,55.21735
152,2023-04-17 14:15:50.844000+08:00,-1.73891,1.88054,-0.18272,-2.13324,-2.13322,8.9184,-13.09587,45.76885,49.68774
153,2023-04-17 14:15:50.894000+08:00,-1.49499,2.12446,-0.36544,-3.31837,0.59616,11.89919,2.76292,100.05464,57.36967
154,2023-04-17 14:15:50.943000+08:00,0.03147,-1.41543,-0.18272,-2.94487,0.02873,8.32465,0.18643,90.54829,53.61893
155,2023-04-17 14:15:50.996000+08:00,1.31314,0.17136,-0.24305,-4.39098,1.2809,9.05008,7.25687,105.66256,56.3209
156,2023-04-17 14:15:51.046000+08:00,-1.98283,1.14791,0.61111,-3.39738,-0.43575,7.68779,-2.96776,82.90442,48.6318
157,2023-04-17 14:15:51.097000+08:00,0.03147,-0.25616,0.36719,-3.62483,0.71109,9.01178,4.18695,100.81789,55.99712
158,2023-04-17 14:15:51.147000+08:00,1.98458,0.35495,0.30599,-3.16035,-1.1133,13.36922,-4.6331,70.79407,54.10005
159,2023-04-17 14:15:51.198000+08:00,2.47242,-0.6216,0.30599,-3.77567,2.02789,7.27838,13.89172,116.86966,63.8993
160,2023-04-17 14:15:51.246000+08:00,1.37434,-1.78175,0.67231,-4.62801,-0.34476,9.24162,-1.91045,85.89211,48.05
161,2023-04-17 14:15:51.296000+08:00,2.2285,-0.6828,0.54991,-1.93213,-0.56024,7.91284,-3.93466,73.99998,53.07957
162,2023-04-17 14:15:51.344000+08:00,2.53362,-0.8664,0.54991,-2.96404,0.74699,11.72441,3.53464,103.98962,57.71461
163,2023-04-17 14:15:51.392000+08:00,2.71634,-0.50008,0.42839,-3.49315,-0.55785,8.5497,-3.4565,81.1594,48.42883
164,2023-04-17 14:15:51.441000+08:00,0.33659,-0.37768,0.85503,-4.55377,2.64081,7.85538,16.21667,118.31328,64.73807
165,2023-04-17 14:15:51.490000+08:00,1.67946,0.11016,0.1836,-2.54025,0.95529,8.93996,5.86868,110.30332,56.23854
166,2023-04-17 14:15:51.538000+08:00,-0.33484,-2.08687,0.42839,-1.51314,0.89066,10.53928,4.78169,120.33874,58.3388
167,2023-04-17 14:15:51.587000+08:00,2.1061,0.23255,-0.12152,-3.39738,-0.16759,8.56406,-1.04208,87.24282,47.54387
168,2023-04-17 14:15:51.636000+08:00,-1.49499,1.3315,0.42839,-1.39343,0.79488,11.55441,3.9072,119.60498,58.19206
169,2023-04-17 14:15:51.686000+08:00,-2.04403,0.59887,-0.12152,-2.13803,-0.26814,7.42203,-1.9883,82.94674,51.86618
170,2023-04-17 14:15:51.746000+08:00,-0.57964,2.6735,-0.42664,-3.30161,0.72066,11.61906,3.41432,102.14713,55.73801
171,2023-04-17 14:15:51.796000+08:00,-2.53274,-2.39199,-0.30424,-2.77968,-1.96564,8.37253,-12.56108,55.63079,44.5616
172,2023-04-17 14:15:51.844000+08:00,-0.88476,0.04983,-0.60936,-3.71341,1.80763,8.58322,10.93962,115.06099,59.21667
173,2023-04-17 14:15:51.898000+08:00,-3.69202,2.12446,-0.24305,-2.16197,-0.82121,10.91995,-4.21913,69.35618,54.76416
174,2023-04-17 14:15:51.953000+08:00,-1.98283,2.7347,-0.48784,-1.34555,-0.39983,7.65427,-2.94508,73.54347,55.97851
175,2023-04-17 14:15:52.004000+08:00,-1.43379,1.81934,-0.42664,-3.33752,0.22507,9.68933,1.25813,93.78717,54.51598
176,2023-04-17 14:15:52.067000+08:00,-2.04403,2.30806,-0.42664,-2.8132,0.10295,12.84729,0.4485,92.07963,56.93696
177,2023-04-17 14:15:52.118000+08:00,-3.2033,-2.63591,-0.42664,-1.46526,-1.32399,8.39407,-8.83197,48.26813,53.03261
178,2023-04-17 14:15:52.169000+08:00,-0.76236,-0.31648,-0.48784,-3.99593,-0.11012,8.55449,-0.66823,88.47122,49.28424
179,2023-04-17 14:15:52.220000+08:00,-1.98283,2.55198,-0.24305,-2.09015,-1.65678,7.3933,-12.16898,52.3725,48.2244
180,2023-04-17 14:15:52.272000+08:00,-2.65427,0.47647,-0.12152,-2.95445,-0.63686,11.99016,-2.95226,77.96046,54.30172
181,2023-04-17 14:15:52.322000+08:00,-0.63996,-1.65935,-0.18272,-1.58018,0.24661,9.77313,1.42696,98.83121,58.83706
182,2023-04-17 14:15:52.388000+08:00,-1.00628,-1.96447,-0.06032,-1.99199,0.28252,10.68054,1.48953,98.02536,58.39676
183,2023-04-17 14:15:52.437000+08:00,0.153,-1.53783,-0.06032,-3.38301,-0.18196,8.89445,-1.09544,86.98878,51.79322
184,2023-04-17 14:15:52.486000+08:00,0.51931,0.29375,-0.12152,-2.44209,-0.39024,7.69017,-2.76898,81.06791,52.0391
185,2023-04-17 14:15:52.544000+08:00,-0.51844,2.61318,0.06207,-3.7182,0.06944,9.91917,0.3756,91.04716,52.58584
186,2023-04-17 14:15:52.600000+08:00,1.25195,0.04983,0.00087,-2.08296,-0.99359,11.2719,-4.95403,64.6776,54.32505
187,2023-04-17 14:15:52.656000+08:00,-0.15212,-1.72055,0.12327,-0.97444,-0.18674,8.76517,-1.213,79.17487,57.8353
188,2023-04-17 14:15:52.706000+08:00,1.00803,-1.11032,0.00087,-4.03903,-1.42215,9.17458,-8.07468,71.23083,44.56758
189,2023-04-17 14:15:52.756000+08:00,0.21419,1.94174,0.12327,-1.63525,-0.34476,8.2169,-2.3564,78.17553,55.15081
190,2023-04-17 14:15:52.805000+08:00,1.00803,2.30806,0.1836,-2.46124,-0.35674,10.66856,-1.86617,81.82527,54.66875
191,2023-04-17 14:15:52.855000+08:00,0.51931,-0.92759,-0.06032,-1.72144,0.12689,10.88882,0.65947,94.19843,57.73629
192,2023-04-17 14:15:52.905000+08:00,-0.15212,-1.65935,0.1836,-2.20985,-1.4437,7.86974,-10.01616,57.43836,49.55963
193,2023-04-17 14:15:52.966000+08:00,-1.61651,0.96519,0.24479,-1.85791,-0.09337,11.1498,-0.47327,87.1361,57.69733
194,2023-04-17 14:15:53.016000+08:00,-1.92163,0.53767,0.06207,-1.93452,0.2059,10.21606,1.13448,96.03954,58.18705
