,Unnamed: 0,ECU Absolute Time,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,Absolute Time,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Action,Base Action,length = 6,length = 12,length = 18,length = 24,length = 30,Filtered length = 6,Filtered length = 12,Filtered length = 18,Filtered length = 24,Filtered length = 30
0,0,2023-04-17 14:16:18.681271040+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,2023-04-17 14:16:18.770000+08:00,0.585974007,0.558022968,0.42428417,0.418915488,0.500327264,0.587391542,0.85743844,0.805220165,0.611078838,,1,Turn Right,Turn Right,Turn Right,Turn Right,Turn Right,Idle,Idle,Idle,Idle,Idle
5,5,2023-04-17 14:16:18.681271040+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,2023-04-17 14:16:19.022000+08:00,0.565811075,0.565432469,0.424754181,0.448767229,0.487880895,0.593089769,0.851285457,0.79053084,0.584575533,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
10,10,2023-04-17 14:16:19.100972032+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,2023-04-17 14:16:19.268000+08:00,0.557310874,0.565432469,0.423820765,0.471358414,0.413567184,0.575961988,0.857122705,0.750001233,0.46081566,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
15,15,2023-04-17 14:16:19.100972032+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,2023-04-17 14:16:19.537000+08:00,0.576424673,0.562965569,0.419126723,0.429403999,0.518742212,0.586343626,0.851418568,0.816661464,0.641596523,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
20,20,2023-04-17 14:16:19.551589888+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,2023-04-17 14:16:19.790000+08:00,0.548825978,0.571294697,0.417723219,0.428328264,0.560884637,0.636351724,0.839079148,0.848424226,0.704575876,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
25,25,2023-04-17 14:16:19.551589888+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,2023-04-17 14:16:20.047000+08:00,0.604023368,0.571913596,0.421006997,0.413357087,0.527039791,0.631603065,0.847673482,0.822314744,0.652137633,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
30,30,2023-04-17 14:16:20.001012992+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.24998416,13.96874464,509,739,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.429686878,0.01952941,1,1844,10600,1825,180.0,1,2,83,0,2.72,1.884,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.874020484,15.07757664,0.224608616,0,2023-04-17 14:16:20.304000+08:00,0.606152245,0.575308923,0.426627773,0.450381394,0.464807945,0.615490372,0.849305242,0.76937281,0.546691458,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
35,35,2023-04-17 14:16:20.451576064+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,2023-04-17 14:16:20.558000+08:00,0.595538473,0.55154179,0.425224269,0.457283621,0.439551309,0.592533187,0.854866773,0.757397591,0.503992413,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
40,40,2023-04-17 14:16:20.451576064+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,2023-04-17 14:16:20.809000+08:00,0.616765843,0.556480042,0.421006997,0.402778714,0.521726349,0.575274228,0.858976485,0.815904173,0.643371644,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
45,45,2023-04-17 14:16:20.901048064+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.99998426,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1820,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.869137688,14.8813392,0.224608616,0,2023-04-17 14:16:21.055000+08:00,0.590231587,0.554632041,0.423820765,0.379381758,0.51190022,0.569706906,0.873574904,0.811801554,0.627398217,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
50,50,2023-04-17 14:16:20.901048064+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.99998426,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1820,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.869137688,14.8813392,0.224608616,0,2023-04-17 14:16:21.310000+08:00,0.574295797,0.572223071,0.42428417,0.462483319,0.50898874,0.571475274,0.854873682,0.809278931,0.623568818,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
55,55,2023-04-17 14:16:21.351696128+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.24956862,-0.469058826,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.76560935,13.96874464,505,737,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.402343135,0.01952941,1,1844,10600,1824,180.0,1,2,84,0,2.82,1.86,-15.00234138,40,48,0.277343608,0.214843024,13.06221566,0.87890328,15.07757664,0.224608616,0,2023-04-17 14:16:21.559000+08:00,0.571117787,0.573147047,0.422880589,0.411474457,0.557172706,0.615719762,0.843923477,0.837969754,0.69389465,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
60,60,2023-04-17 14:16:21.351696128+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.24956862,-0.469058826,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.76560935,13.96874464,505,737,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.402343135,0.01952941,1,1844,10600,1824,180.0,1,2,84,0,2.82,1.86,-15.00234138,40,48,0.277343608,0.214843024,13.06221566,0.87890328,15.07757664,0.224608616,0,2023-04-17 14:16:21.822000+08:00,0.54776154,0.553084716,0.423820765,0.482294742,0.52267242,0.606975724,0.843113435,0.830827237,0.660282907,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
65,65,2023-04-17 14:16:21.801875200+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,41.10935921,13.96874464,509,743,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.42187438,0.01952941,1,1831,10600,1824,180.0,1,2,84,0,2.74,1.876,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.87890328,14.97128136,0.224608616,0,2023-04-17 14:16:22.076000+08:00,0.600845359,0.554013141,0.42194049,0.491080348,0.464807945,0.576944521,0.851649448,0.746916073,0.509554616,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
70,70,2023-04-17 14:16:22.251460096+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,13.12454902,1.405921566,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,40.85935931,13.96874464,514,752,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.406249384,0.01952941,1,1765,10600,1824,180.0,1,2,84,0,2.708,1.864,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.874020484,14.4316284,0.224608616,0,2023-04-17 14:16:22.333000+08:00,0.616765843,0.555246592,0.420536986,0.484715426,0.479001445,0.58025214,0.846474046,0.764972014,0.545662818,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
75,75,2023-04-17 14:16:22.251460096+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,13.12454902,1.405921566,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,40.85935931,13.96874464,514,752,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.406249384,0.01952941,1,1765,10600,1824,180.0,1,2,84,0,2.708,1.864,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.874020484,14.4316284,0.224608616,0,2023-04-17 14:16:22.584000+08:00,0.60295893,0.559875318,0.422880589,0.429941679,0.508188289,0.583494376,0.855250639,0.80955203,0.623307759,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
80,80,2023-04-17 14:16:22.703226112+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.78123434,13.96874464,508,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.406249384,0.01952941,1,1811,10600,1824,180.0,1,2,84,0,2.72,1.864,-15.00234138,40,48,0.277343608,0.214843024,13.24970977,0.864254892,14.80775016,0.224608616,0,2023-04-17 14:16:22.828000+08:00,0.615701579,0.562656093,0.423350677,0.474316779,0.553679357,0.609333503,0.836239802,0.864667089,0.723207748,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
85,85,2023-04-17 14:16:22.703226112+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.78123434,13.96874464,508,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.406249384,0.01952941,1,1811,10600,1824,180.0,1,2,84,0,2.72,1.864,-15.00234138,40,48,0.277343608,0.214843024,13.24970977,0.864254892,14.80775016,0.224608616,0,2023-04-17 14:16:23.082000+08:00,0.585974007,0.578085299,0.426164445,0.4872256,0.462988156,0.577304815,0.847628233,0.749344759,0.510936645,,2,Turn Left,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
90,90,2023-04-17 14:16:23.151580160+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,41.01560925,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.417968131,0.01952941,1,1811,10600,1824,180.0,1,2,84,0,2.708,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.18721173,0.883786076,14.80775016,0.224608616,0,2023-04-17 14:16:23.347000+08:00,0.57855355,0.578085299,0.424754181,0.428865944,0.573185995,0.600196479,0.833554033,0.848635217,0.724260152,,1,Idle,Turn Right,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
95,95,2023-04-17 14:16:23.151580160+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,41.01560925,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.417968131,0.01952941,1,1811,10600,1824,180.0,1,2,84,0,2.708,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.18721173,0.883786076,14.80775016,0.224608616,0,2023-04-17 14:16:23.606000+08:00,0.625250739,0.574384947,0.425224269,0.402778714,0.54698268,0.62646142,0.846015323,0.831853692,0.677382356,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
100,100,2023-04-17 14:16:23.603353856+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,41.03123424,13.96874464,509,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.417968131,0.01952941,1,1823,10600,1824,180.0,1,2,84,0,2.708,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.859372096,14.90586888,0.224608616,0,2023-04-17 14:16:23.853000+08:00,0.590231587,0.551851265,0.428038037,0.489466933,0.485551894,0.58018662,0.848858661,0.769115301,0.556602698,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
105,105,2023-04-17 14:16:23.603353856+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,41.03123424,13.96874464,509,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.417968131,0.01952941,1,1823,10600,1824,180.0,1,2,84,0,2.708,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.859372096,14.90586888,0.224608616,0,2023-04-17 14:16:24.100000+08:00,0.577489112,0.553394191,0.425694357,0.447243677,0.454108706,0.572457807,0.864758319,0.774804626,0.526567876,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
110,110,2023-04-17 14:16:24.051238912+08:00,1007,0.777050013,0,0.102538716,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.51560944,13.96874464,504,739,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.386718139,0.01952941,1,1831,10600,1824,180.0,1,2,84,0,2.676,1.848,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.87890328,14.97128136,0.224608616,0,2023-04-17 14:16:24.354000+08:00,0.583860436,0.56481357,0.421006997,0.502017424,0.482203859,0.591779907,0.839050732,0.750489084,0.536774127,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
115,115,2023-04-17 14:16:24.501075968+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,12.65580392,0.937176468,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.95310927,13.96874464,513,750,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1780,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.87890328,14.5542768,0.224608616,0,2023-04-17 14:16:24.614000+08:00,0.54776154,0.569751771,0.419596811,0.451367266,0.526239036,0.592598707,0.845707781,0.825963537,0.659023847,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
120,120,2023-04-17 14:16:24.501075968+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,12.65580392,0.937176468,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.95310927,13.96874464,513,750,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1780,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.87890328,14.5542768,0.224608616,0,2023-04-17 14:16:24.871000+08:00,0.557310874,0.556174967,0.420536986,0.415149854,0.538321204,0.609922913,0.846978259,0.828320125,0.669367188,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
125,125,2023-04-17 14:16:24.951622912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,13.59329411,1.874666664,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,40.57810942,13.96874464,513,753,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.390624388,0.01952941,1,1756,10600,1824,180.0,1,2,84,0,2.836,1.852,-15.00234138,40,48,0.277343608,0.214843024,13.18721173,0.859372096,14.35803936,0.224608616,0,2023-04-17 14:16:25.120000+08:00,0.577489112,0.554322616,0.421006997,0.503361625,0.488463069,0.583625417,0.839618893,0.760199736,0.551674496,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
130,130,2023-04-17 14:16:24.951622912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,13.59329411,1.874666664,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,40.57810942,13.96874464,513,753,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.390624388,0.01952941,1,1756,10600,1824,180.0,1,2,84,0,2.836,1.852,-15.00234138,40,48,0.277343608,0.214843024,13.18721173,0.859372096,14.35803936,0.224608616,0,2023-04-17 14:16:25.377000+08:00,0.612523395,0.559570293,0.421470403,0.491439051,0.460513535,0.590273621,0.842795869,0.740213471,0.50426455,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
135,135,2023-04-17 14:16:25.401088+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.03123424,13.96874464,509,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.417968131,0.01952941,1,1822,10600,1824,180.0,1,2,84,0,2.708,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.859372096,14.89769232,0.224608616,0,2023-04-17 14:16:25.639000+08:00,0.622072729,0.560803743,0.421470403,0.386015519,0.53410006,0.585230052,0.857353508,0.819668399,0.658127912,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
140,140,2023-04-17 14:16:25.851449088+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.65580392,0.937176468,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.71873436,13.96874464,511,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.402343135,0.01952941,1,1781,10600,1824,180.0,1,2,84,0,2.788,1.86,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,14.56245336,0.224608616,0,2023-04-17 14:16:25.901000+08:00,0.600845359,0.560803743,0.420066898,0.453160407,0.49421337,0.571770048,0.853547238,0.79670855,0.593961513,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
145,145,2023-04-17 14:16:25.851449088+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.65580392,0.937176468,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.71873436,13.96874464,511,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.402343135,0.01952941,1,1781,10600,1824,180.0,1,2,84,0,2.788,1.86,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,14.56245336,0.224608616,0,2023-04-17 14:16:26.156000+08:00,0.54776154,0.56790382,0.42194049,0.473509884,0.480675006,0.605633034,0.845573702,0.771195698,0.559808931,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
150,150,2023-04-17 14:16:26.301922048+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.1406092,13.96874464,509,745,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.425780629,0.01952941,1,1834,10600,1824,180.0,1,2,84,0,2.708,1.88,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.869137688,14.99581104,0.224608616,0,2023-04-17 14:16:26.406000+08:00,0.546697276,0.557717892,0.418663394,0.465082981,0.552296123,0.609366331,0.839023054,0.857204115,0.713610478,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
155,155,2023-04-17 14:16:26.301922048+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.1406092,13.96874464,509,745,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.425780629,0.01952941,1,1834,10600,1824,180.0,1,2,84,0,2.708,1.88,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.869137688,14.99581104,0.224608616,0,2023-04-17 14:16:26.678000+08:00,0.583860436,0.574999448,0.426627773,0.465800387,0.508697501,0.584706025,0.855157918,0.808644798,0.622800415,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
160,160,2023-04-17 14:16:26.751360+08:00,1007,0.777050013,0,0.107421512,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.42185909,13.96874464,512,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.441405625,0.01952941,1,1827,10600,1824,180.0,1,2,84,0,2.804,1.892,-15.00234138,40,48,0.277343608,0.214843024,12.74972546,0.844723708,14.93857512,0.224608616,0,2023-04-17 14:16:26.954000+08:00,0.625250739,0.561113218,0.42194049,0.416315452,0.47114042,0.579073319,0.869447886,0.792231443,0.566180413,,2,Turn Left,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
165,165,2023-04-17 14:16:26.751360+08:00,1007,0.777050013,0,0.107421512,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.42185909,13.96874464,512,744,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.441405625,0.01952941,1,1827,10600,1824,180.0,1,2,84,0,2.804,1.892,-15.00234138,40,48,0.277343608,0.214843024,12.74972546,0.844723708,14.93857512,0.224608616,0,2023-04-17 14:16:27.209000+08:00,0.591280893,0.556789517,0.427567949,0.452443375,0.523182241,0.572326903,0.848499115,0.822097704,0.653641205,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
170,170,2023-04-17 14:16:27.201142016+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.32810913,13.96874464,508,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1863,10600,1824,180.0,1,2,84,0,2.68,1.888,-15.00234138,40,48,0.277343608,0.214843024,13.06221566,0.864254892,15.23293128,0.224608616,0,2023-04-17 14:16:27.470000+08:00,0.591280893,0.573147047,0.426164445,0.438458071,0.506732397,0.612706642,0.847557323,0.807644215,0.621423576,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
175,175,2023-04-17 14:16:27.652123904+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,746,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1829,10600,1824,180.0,1,2,84,0,2.768,1.888,-15.00234138,40,48,0.277343608,0.214843024,13.06221566,0.869137688,14.95492824,0.224608616,0,2023-04-17 14:16:27.718000+08:00,0.583860436,0.577161323,0.421470403,0.430748574,0.415459326,0.598722748,0.862175812,0.764979629,0.495172964,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
180,180,2023-04-17 14:16:27.652123904+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.5,11.24862744,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,746,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1829,10600,1824,180.0,1,2,84,0,2.768,1.888,-15.00234138,40,48,0.277343608,0.214843024,13.06221566,0.869137688,14.95492824,0.224608616,0,2023-04-17 14:16:27.976000+08:00,0.535019065,0.552779691,0.422410578,0.45997352,0.459130606,0.589651108,0.852264767,0.765051962,0.529129567,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
