,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
Group 0,0.7092235554441618,0.7334138433611689,0.20616542713012126,0.35568305187208343,0.534956071535029,0.6042796482892212,0.4201695692767476,0.7417683670192661,0.1317808891658507
Group 1,0.7084578405245385,0.7215879740104663,0.23671166073461752,0.6516231223809559,0.6290644106718682,0.5752365724541812,0.5397902709269486,0.1212757010290384,0.18338323358096742
Group 2,0.7130071636453146,0.7059481445383606,0.21715074693650838,0.5091902128217223,0.33488610142576597,0.6163198335929386,0.23310630447366654,0.5279131059594223,0.15643484380580797
Group 3,0.4325461384190495,0.41047307097830865,0.6894847755093443,0.44272874935092477,0.5153496136748638,0.6053459721584791,0.411992145934927,0.6795116136117608,0.13815504025652187
Group 4,0.6971180848461457,0.6929423732138629,0.20614025198471608,0.3904881343807696,0.7308434576963858,0.5089021579657167,0.6572284584277934,0.8958001104325835,0.30755166964060754
