,Component 5,Component 6,Component 7,Component 9,Base Action,Action
0,0.05302476834709198,0.025070790360749943,-0.06540671850356324,-0.023077324599569033,4,Idle 1
1,-0.005678587132717996,-0.02933286623398917,-0.0672354097848689,-0.0035157022769403746,0,Idle 1
2,0.03391720533720359,0.023669403653222124,0.0011049531352727482,-0.017424714876474026,4,Idle 1
3,-0.001496872446214641,0.0043538170280680065,-0.009834863593382051,-0.00042306608012350396,4,Idle 1
4,0.04308976735874026,-0.003988529680287129,-0.041005884511285194,-0.008156058537703504,4,Idle 1
5,-0.006970389020918137,-0.044487992313681717,-0.03508878685079705,-0.011822245537996514,0,Idle 1
6,0.05383034689135515,0.028169572811176078,0.013352507510368167,-0.02591513689094354,4,Idle 1
7,0.062437015355361364,-0.07638141943541614,0.022268700544946507,-0.007428677518158326,3,Idle 1
8,0.04428807756227989,-0.006760789575895893,-0.03265738286544712,-0.009343329969428679,4,Idle 1
9,0.04655221370674017,-0.00845394693282279,-0.03598372183825817,-0.01749089093169032,4,Idle 1
10,0.0016682987475532996,-0.033429823530000596,-0.027667657135416183,-0.006504520376918645,0,Idle 1
11,0.047328810623683576,-0.010759418819747934,-0.02898443208212096,-0.01697740444849406,4,Idle 1
12,0.012522139599033217,-0.10322824176391199,0.019651374203239737,-0.010164811791716825,0,Idle 1
13,0.047643611710874154,0.010467780358234221,-0.022274898367611776,-0.0022304546178215047,4,Idle 1
14,0.03530819284780724,-0.023664811029716504,-0.04465766838825112,-0.013866268427319075,4,Idle 1
15,0.1016981279012346,-0.1415735108364176,0.004103737697167776,-0.011329932014815426,3,Idle 1
16,0.03541043348992421,-0.06232179652172372,-0.0459513670333521,-0.0007793658174917867,0,Idle 1
17,0.02141212707301193,-0.0931483681769223,0.006770250756073086,-0.00900045669958053,0,Idle 1
18,0.021721971133065083,-0.006401001090230325,-0.02798844376034505,-0.010712715345337015,4,Idle 1
19,0.04841272600644116,-0.09007624517807974,-0.005588225690503437,-0.009194316861811897,3,Idle 1
20,0.05602264508703085,0.04875837912149659,-0.017850758674651038,-0.026150415387761982,4,Idle 1
21,0.0815514946774711,-0.1396583892497257,0.025342639762609975,-0.012485692375817039,3,Idle 1
22,0.01204417957849487,-0.0016608221833242552,0.0013850770352655424,-0.015801239351831458,4,Idle 1
23,-0.036058306326669266,0.007732069596202397,-0.023707773642807732,0.0005101177269105835,4,Idle 1
24,0.030531395322970292,0.016875054828189764,-0.044247951004830886,-0.010454749173342359,4,Idle 1
25,0.048123147176142245,0.026617979402617335,-0.047565583042006435,-0.01566836726360774,4,Idle 1
26,-0.021959536261103123,-0.0709752112566124,-0.007949821355308967,-0.00999968286977021,0,Idle 1
27,0.014927057018074261,0.013344521985662825,-0.004400649932957342,-0.009652125477518307,4,Idle 1
28,-0.028015348595035586,0.00041724703696674145,-0.007022438068695047,-0.0016668845394420145,4,Idle 1
29,0.04800231768115286,0.020209110461656563,-0.04272424527112109,-0.0051218375817058135,4,Idle 1
30,0.03395148322910725,-0.042932815595177296,-0.011678262254809868,-0.004097178404928606,0,Idle 1
31,-0.05105999580502947,-0.06880354779356966,0.03525267583724951,-0.011626865070622276,0,Idle 1
32,-0.010980886467392634,0.0066801205852491065,-0.004114798649092838,-0.001213192434536968,4,Idle 1
33,0.00948889835995905,0.015510487304763391,-0.00708748484164403,-0.0029836213756845643,4,Idle 1
34,0.039989511755438356,0.02128909410724416,-0.010581359776421889,-0.019092571444497376,4,Idle 1
35,-0.037173666660926995,-0.08015344302622787,0.004590099417367512,-0.014414107391379704,0,Idle 1
36,-0.0006114070623378192,0.043330607667744506,0.008902770425604823,-0.005301922693509704,4,Idle 1
37,-0.058246297484662084,-0.0019421068897311226,0.014551200306642451,-0.004823981163006404,2,Idle 1
38,0.03468923045144239,-0.014558716499487367,0.002247485859004224,-0.00374592598399159,4,Idle 1
39,0.04310929367868179,-0.02367951106765366,-0.030553379764937678,0.0008044020746547355,4,Idle 1
40,-0.042669687740240526,-0.06858584517057893,-0.03198288713578172,-0.012528373756787973,0,Idle 1
41,0.016801887408256697,0.028675499891675817,0.008080405317263952,-0.010214587962725584,4,Idle 1
42,-0.032468009394982185,0.013384999737149534,-0.0033697574830360813,-0.003946477919442458,4,Idle 1
43,0.026308736301304307,0.031236698613776828,-0.049591853721349305,-0.015377652469301555,4,Idle 1
44,0.020590271512677682,-0.06324522974043853,-0.05854054091571981,-0.006955359745770728,0,Idle 1
45,0.03098537576796172,0.018893176956217016,0.02299650185846934,-0.014075998394217604,4,Idle 1
46,-0.010759017952664686,-0.008257818637519645,-0.001990646137230372,0.0052926781334370334,4,Idle 1
47,-0.015094727012510158,-0.01484335136573338,0.005263778343302711,-0.005174100324967078,0,Idle 1
