,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9
Group 0,-0.14424704758799128,0.3841565328066746,0.15853496462843228,0.025834346226342262,0.07210954725370654,0.005420721365774291,0.020445876062503754,0.033452422400616966,0.010165067308884173
Group 1,-0.14117300926934914,0.09204540798038591,-0.08087991174074302,-0.021913348036742296,-0.026078438131365473,0.003168827366436455,-0.006543710386918687,-0.017338975035269082,-0.0047773265504708565
Group 2,-0.10232894406118602,-0.2634942481604813,-0.14705910809208608,0.03004911378336417,0.060909621985173586,-0.012079938564792078,0.01134747468812027,0.016855511371691136,0.0018599636937517662
Group 3,-0.12880870618474557,-0.39792170347509254,0.4235492971466843,-0.0023226583659361937,-0.08791612084201826,0.01784063481312129,-0.009321095641136666,-0.003471105745953873,0.0011389718994511443
Group 4,0.501960630403164,0.03098294148001559,0.002344608748470321,-0.002531196701814369,-0.013090876659620127,-0.005682860787207111,-0.006717018218173197,-0.002468294988784792,0.00044918998777351176
