,Action,Base Action,Number,Rate
0,Idle 1,0,0,0.0
1,Idle 1,1,52,89.66
2,Idle 1,2,6,10.34
3,Idle 1,3,0,0.0
4,Idle 1,4,0,0.0
5,Go straight 1,0,13,25.0
6,Go straight 1,1,11,21.15
7,Go straight 1,2,18,34.62
8,Go straight 1,3,10,19.23
9,Go straight 1,4,0,0.0
10,Turn right 1,0,16,21.92
11,Turn right 1,1,31,42.47
12,Turn right 1,2,18,24.66
13,Turn right 1,3,8,10.96
14,Turn right 1,4,0,0.0
15,Trun left 1,0,17,22.67
16,Trun left 1,1,22,29.33
17,Trun left 1,2,25,33.33
18,Trun left 1,3,11,14.67
19,Trun left 1,4,0,0.0
20,Two-stage left turn 1,0,1,1.01
21,Two-stage left turn 1,1,54,54.55
22,Two-stage left turn 1,2,3,3.03
23,Two-stage left turn 1,3,3,3.03
24,Two-stage left turn 1,4,38,38.38
25,Idle 2,0,4,5.71
26,Idle 2,1,37,52.86
27,Idle 2,2,18,25.71
28,Idle 2,3,11,15.71
29,Idle 2,4,0,0.0
30,Go straight 2,0,6,10.71
31,Go straight 2,1,26,46.43
32,Go straight 2,2,15,26.79
33,Go straight 2,3,9,16.07
34,Go straight 2,4,0,0.0
35,Turn right 2,0,15,22.39
36,Turn right 2,1,24,35.82
37,Turn right 2,2,21,31.34
38,Turn right 2,3,7,10.45
39,Turn right 2,4,0,0.0
40,Turn left 2,0,28,35.9
41,Turn left 2,1,15,19.23
42,Turn left 2,2,29,37.18
43,Turn left 2,3,6,7.69
44,Turn left 2,4,0,0.0
45,Two-stage left turn 2,0,1,1.15
46,Two-stage left turn 2,1,51,58.62
47,Two-stage left turn 2,2,1,1.15
48,Two-stage left turn 2,3,4,4.6
49,Two-stage left turn 2,4,30,34.48
50,U-trun 1,0,4,5.63
51,U-trun 1,1,4,5.63
52,U-trun 1,2,6,8.45
53,U-trun 1,3,5,7.04
54,U-trun 1,4,52,73.24
55,U-turn 2,0,2,2.47
56,U-turn 2,1,3,3.7
57,U-turn 2,2,10,12.35
58,U-turn 2,3,7,8.64
59,U-turn 2,4,59,72.84
