,Component 5,Component 6,Component 7,Component 9
Group 0,-0.031159576532784446,-0.08830309551582018,-0.05794999848377226,-0.006211724480876615
Group 1,0.28626563068949723,0.3172875463657526,0.03819045649006772,-0.021470700577030905
Group 2,-0.12213443866188253,0.0493122463489201,0.04583976051789825,0.002151416343058973
Group 3,0.10675844606249062,-0.08576830779590372,0.06337989270238359,0.01095944416568376
Group 4,0.03213260058287287,0.06356132088539271,-0.033052362710739115,-0.0021829823228151253
