,Unnamed: 0,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,ECU Absolute Time,Absolute Time,Action
0,0,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5859740071807846,0.5580229678066493,0.4242841702599839,0.4189154883380287,0.500327264027132,0.587391542474205,0.4664372989219369,0.7347493641134364,0.1393818177536562,2023-04-17 14:16:18.681271040+08:00,2023-04-17 14:16:18.770000+08:00,Idle 1
6,6,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5658110750636011,0.5601847930504026,0.4247541813047442,0.4320036604196902,0.4859887523321172,0.57992467475053,0.4481001515399219,0.7111796893285975,0.1356348411510562,2023-04-17 14:16:18.681271040+08:00,2023-04-17 14:16:19.070000+08:00,Idle 1
12,12,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.5626177600147213,0.5527796907868299,0.4242841702599839,0.4605108262453889,0.468010663365551,0.5670542175464552,0.4190766044308469,0.6690076513107721,0.1326299335416939,2023-04-17 14:16:19.100972032+08:00,2023-04-17 14:16:19.374000+08:00,Idle 1
18,18,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5870384455304112,0.5635801193390643,0.4172531307121531,0.3897804047729237,0.4612413293273257,0.5826100551848963,0.4222142420062129,0.6951414054343378,0.1163651251122087,2023-04-17 14:16:19.551589888+08:00,2023-04-17 14:16:19.692000+08:00,Idle 1
24,24,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5520039878173987,0.5749994475464717,0.4214704025542054,0.4601521230883518,0.4492321227655071,0.564368837112089,0.3920692686958724,0.6437794367744375,0.1235973124292506,2023-04-17 14:16:19.551589888+08:00,2023-04-17 14:16:19.997000+08:00,Idle 1
30,30,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3320797291813662,0.0180967873644401,0.527331189710611,0.6272108843537414,0.0,0.0,0.0,0.0,0.3507228158390949,1.0,0.0,0.0302967848309975,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7427055702917773,0.3510373443983402,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9468085106382976,0.0302967848309975,0.0030674846625767,0.0,0.6061522449474399,0.5753089226579725,0.4266277732975195,0.4503813935655094,0.4648079448092703,0.6154903719153416,0.43392990808046,0.6704096803240482,0.1418977097182757,2023-04-17 14:16:20.001012992+08:00,2023-04-17 14:16:20.304000+08:00,Idle 1
36,36,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.636928949261946,0.5580229678066493,0.4228805893119688,0.3797397118093467,0.5148846610909672,0.565351370102108,0.4835743557185693,0.7541400977630441,0.1245131590107242,2023-04-17 14:16:20.451576064+08:00,2023-04-17 14:16:20.609000+08:00,Idle 1
42,42,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.5849248744806298,0.5617277186389831,0.4214704025542054,0.4137157902777216,0.5036756021551697,0.6015063408463435,0.4710660675467213,0.7398580177499207,0.1419665192967026,2023-04-17 14:16:20.451576064+08:00,2023-04-17 14:16:20.908000+08:00,Idle 1
48,48,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3290710793610607,0.0180967873644401,0.527331189710611,0.6312925170068027,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0253503709810387,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8514588859416443,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9414893617021276,0.0253503709810387,0.0030674846625767,0.0,0.6135878338175195,0.5561749665076628,0.4224105782672085,0.4614970727126495,0.4972701650426082,0.5862452767834965,0.4621994845914288,0.7211439867681358,0.1445208800466725,2023-04-17 14:16:20.901048064+08:00,2023-04-17 14:16:21.200000+08:00,Idle 1
54,54,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1428571427555545,0.4583333333333333,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3262504701093944,0.0180967873644401,0.5209003215434084,0.6244897959183673,0.0,0.0,0.0,0.0,0.3463230672532998,1.0,0.0,0.0302967848309975,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8090185676392572,0.346058091286307,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.6470588262976644,0.952127659574468,0.0302967848309975,0.0030674846625767,0.0,0.5658110750636011,0.5734565219578912,0.4238207650249718,0.4324518521513952,0.4963967516195237,0.5675454156485238,0.4589431697473234,0.7269890807335317,0.1316679912232158,2023-04-17 14:16:21.351696128+08:00,2023-04-17 14:16:21.509000+08:00,Idle 1
