,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Base Action,Action
0,0.72120664,0.79554153,0.190945056,0.469878242,0.458229114,0.532149269,0.306191038,0.602470206,0.120238093,0,Idle 1
1,0.726437537,0.820583367,0.191701807,0.378727337,0.586453651,0.613755366,0.474609912,0.794778117,0.148086141,0,Idle 1
2,0.697639513,0.719041503,0.190945056,0.441144702,0.469961433,0.551430903,0.331101103,0.633743744,0.119181662,0,Idle 1
3,0.722519082,0.737130553,0.188674927,0.374381656,0.556664446,0.561071721,0.444385271,0.759436753,0.132444399,0,Idle 1
4,0.701576839,0.774683397,0.19320455,0.451164782,0.515393499,0.565930177,0.391878348,0.686732555,0.133593377,0,Idle 1
5,0.693721058,0.791377879,0.192458557,0.379210415,0.610167825,0.650800823,0.493552078,0.820176338,0.156477616,6,Idle 1
6,0.685865492,0.700972278,0.193961178,0.474586485,0.435346956,0.548166672,0.284729261,0.582887731,0.120115432,8,Idle 1
7,0.681947038,0.707925065,0.192458557,0.460461253,0.584872683,0.617474909,0.474116033,0.82373844,0.155910133,6,Idle 1
8,0.739524214,0.753825036,0.189431678,0.453941722,0.514810671,0.531617543,0.385425432,0.684525994,0.129350052,0,Idle 1
9,0.73560576,0.763546906,0.189431678,0.492454307,0.479114644,0.552341844,0.340527208,0.600323131,0.130958373,0,Idle 1
10,0.702889281,0.781635956,0.192458557,0.452734532,0.4755367,0.658316323,0.363714536,0.630206416,0.133130899,0,Idle 1
11,0.755235561,0.742688773,0.19320455,0.481347555,0.495256575,0.525089081,0.354359256,0.632327878,0.128827261,0,Idle 1
12,0.753923333,0.713483284,0.189431678,0.44585244,0.566150602,0.646853306,0.452073095,0.783240736,0.149875684,0,Idle 1
13,0.739524214,0.728783198,0.191701807,0.429795907,0.534697713,0.489713946,0.410956468,0.726858482,0.123443631,0,Idle 1
14,0.752629548,0.774683397,0.191701807,0.486780413,0.484939098,0.566006274,0.352347872,0.612688633,0.132226056,0,Idle 1
15,0.689802604,0.731572334,0.194717929,0.501146679,0.61957057,0.644120167,0.506680655,0.911344012,0.16812966,6,Idle 1
16,0.776178019,0.773288829,0.19320455,0.449474514,0.554418283,0.567524403,0.441843294,0.761371556,0.145156265,0,Idle 1
17,0.756548003,0.724599723,0.191701807,0.472172105,0.539024262,0.632809344,0.424332476,0.72622802,0.146708368,0,Idle 1
18,0.744773768,0.753825036,0.189431678,0.436798012,0.497669905,0.556365457,0.367955688,0.667926051,0.12552169,0,Idle 1
19,0.696345943,0.74408334,0.195474679,0.442593431,0.621650608,0.632429812,0.509863928,0.862479545,0.16531041,6,Idle 1
20,0.672778815,0.738525121,0.194717929,0.456477123,0.435596491,0.53776679,0.281161758,0.596768447,0.113459853,0,Idle 1
21,0.705495294,0.706530497,0.193961178,0.507545189,0.574720985,0.656949753,0.46038006,0.842459649,0.157027104,6,Idle 1
22,0.750004664,0.717646936,0.188674927,0.436798012,0.459893145,0.563121258,0.323170771,0.627139682,0.117327201,0,Idle 1
23,0.736918202,0.757988687,0.189431678,0.334299321,0.57680137,0.576634129,0.46653821,0.776972844,0.132772578,0,Idle 1
24,0.681947038,0.784405267,0.193961178,0.43848828,0.484440028,0.582099774,0.35767574,0.650296463,0.124544302,0,Idle 1
25,0.697639513,0.776077737,0.192458557,0.451164782,0.485687704,0.537310844,0.346312382,0.644137296,0.121065333,0,Idle 1
26,0.747379995,0.752430468,0.190945056,0.395508487,0.569062655,0.655658963,0.45412492,0.777249696,0.146318774,0,Idle 1
27,0.732980875,0.720435843,0.189431678,0.408306011,0.505408273,0.537235065,0.375369424,0.69076651,0.118132406,0,Idle 1
28,0.723831524,0.741294205,0.188674927,0.343957344,0.581876872,0.586882134,0.471537694,0.783196199,0.139569264,0,Idle 1
29,0.680634596,0.771894261,0.195474679,0.4284682,0.528041243,0.542169301,0.406172203,0.716150903,0.130295801,0,Idle 1
30,0.68455305,0.7510359,0.192458557,0.411928085,0.609003212,0.60593643,0.500872552,0.831462928,0.159605665,6,Idle 1
31,0.717288186,0.713483284,0.19320455,0.388023305,0.527042756,0.713049188,0.416376191,0.722245125,0.138192819,0,Idle 1
32,0.740836656,0.724599723,0.189431678,0.369431874,0.542935499,0.551658242,0.427231675,0.743408206,0.124198467,0,Idle 1
33,0.68455305,0.734341418,0.195474679,0.383073524,0.546430032,0.569649721,0.431783629,0.747207325,0.130818621,0,Idle 1
34,0.701576839,0.731572334,0.191701807,0.454665834,0.465301592,0.548014796,0.323096288,0.620019761,0.118099015,0,Idle 1
35,0.748692437,0.739899637,0.190945056,0.376070915,0.601930039,0.668716204,0.4834813,0.810983945,0.151315917,6,Idle 1
